item_id,order_id,isbn,discount
107157-17-6374,107157-12289,989-28-3705-007-2,
107157-24-4594,107157-12290,989-28-3705-007-2,
107157-80-5353,107157-12291,989-28-79-04510-4,
107157-8-8713,107157-12292,989-28-79-30536-9,
107157-32-1687,107157-12293,989-28-79-86624-2,
107157-6-933,107157-12294,989-28-79-52883-6,
107157-19-5700,107157-12295,989-28-79-45675-7,
107157-61-3507,107157-12296,989-28-79-18127-7,
107157-79-7800,107157-12297,989-28-79-82197-5,
107157-52-9241,107157-12298,989-28-79-45675-7,
107157-93-1,107157-12299,989-28-79-82197-5,
107157-36-1702,107157-12300,989-28-79-11297-4,
107157-32-5515,107157-12301,989-28-79-42728-3,
107157-6-5699,107157-12302,989-28-79-64693-6,
107157-10-9122,107157-12303,989-28-79-11297-4,
107157-52-5436,107157-12304,989-28-79-45675-7,
107157-45-932,107157-12305,989-28-654-5018-9,
107157-44-861,107157-12306,989-28-79-69807-2,
107157-28-2473,107157-12307,989-28-79-05670-4,
107157-54-8824,107157-12308,989-28-79-05670-4,
107157-9-8856,107157-12309,989-28-79-13871-4,
107157-56-7277,107157-12310,989-28-79-05670-4,
107157-55-8401,107157-12311,989-28-79-69807-2,
107157-84-7757,107157-12312,989-28-79-05670-4,
107157-92-3129,107157-12313,989-28-79-13871-4,
107157-79-1392,107157-12314,989-28-79-05670-4,
107157-92-3080,107157-12315,989-28-79-13871-4,
107157-69-2081,107157-12316,989-28-79-05670-4,
107157-81-5099,107157-12317,989-28-79-82749-6,
107157-92-3079,107157-12318,989-28-79-13871-4,
107157-55-8400,107157-12319,989-28-79-69807-2,
107157-44-860,107157-12320,989-28-79-69807-2,
107157-48-6671,107157-12321,989-28-79-05670-4,
107157-92-3128,107157-12322,989-28-79-13871-4,
107157-9-8855,107157-12323,989-28-79-13871-4,
107157-77-4332,107157-12324,989-28-79-05670-4,
107157-60-5217,107157-12325,989-28-79-69807-2,
107157-34-3963,107157-12326,989-28-79-69807-2,
107157-28-3498,107157-12327,989-28-79-69807-2,
107157-81-5098,107157-12328,989-28-79-82749-6,
107157-17-9616,107157-12330,989-28-654-6033-1,
107157-63-1059,107157-12331,989-28-229-6632-6,
107157-19-2912,107157-12332,989-28-229-1404-4,
107157-1-6111,107157-12333,989-28-229-1404-4,
107157-14-2232,107157-12334,989-28-229-0197-6,0.1
107157-56-2977,107157-12335,989-28-229-6632-6,
107157-26-9420,107157-12336,989-28-229-9769-6,
107157-12-1382,107157-12337,989-28-229-7592-2,
107157-9-4900,107157-12338,989-28-229-9769-6,
107157-59-8372,107157-12339,989-28-229-7592-2,
107157-52-7048,107157-12340,989-28-229-1404-4,
107157-56-6535,107157-12341,989-28-229-1404-4,
107157-81-3696,107157-12342,989-28-229-1404-4,
107157-45-6521,107157-12343,989-28-229-6632-6,
107157-52-5267,107157-12344,989-28-229-7592-2,
107157-37-6707,107157-12345,989-28-229-5891-8,
107157-17-4459,107157-12346,989-28-229-5891-8,
107157-58-2520,107157-12347,989-28-229-1404-4,
107157-58-2981,107157-12348,989-28-229-7592-2,
107157-70-6719,107157-12349,989-28-229-9769-6,
107157-65-3168,107157-12350,989-28-229-7592-2,
107157-34-6742,107157-12351,989-28-229-1404-4,
107157-87-1033,107157-12352,989-28-229-3157-7,
107157-60-2063,107157-12353,989-28-229-1404-4,
107157-28-2183,107157-12355,989-28-79-55824-6,
107157-3-7365,107157-12356,989-28-79-68089-3,0.05
107157-83-2100,107157-12357,989-28-79-13801-1,
107157-35-7850,107157-12358,989-28-79-13801-1,
107157-88-5436,107157-12359,989-28-79-91028-0,
107157-5-7932,107157-12360,989-28-79-74374-1,
107157-4-5716,107157-12361,989-28-79-13801-1,
107157-25-7056,107157-12362,989-28-79-74374-1,
107157-48-4342,107157-12363,989-28-79-13801-1,
107157-43-5018,107157-12364,989-28-79-91028-0,
107157-47-3522,107157-12365,989-28-79-13801-1,
107157-35-512,107157-12366,989-28-79-91028-0,
107157-69-3810,107157-12367,989-28-79-13801-1,
107157-4-30,107157-12368,989-28-79-23023-4,
107157-19-1272,107157-12369,989-28-79-71565-6,
107157-58-5483,107157-12370,989-28-79-68089-3,0.05
107157-74-9572,107157-12371,989-28-79-74374-1,
107157-41-9399,107157-12372,989-28-79-91028-0,
107157-59-594,107157-12373,989-28-79-23023-4,
107157-45-508,107157-12374,989-28-79-91028-0,
107157-93-4838,107157-12375,989-28-79-23023-4,
107157-25-4638,107157-12376,989-28-79-26824-4,
107157-36-687,107157-12377,989-28-79-26824-4,
107157-88-4449,107157-12378,989-28-79-68089-3,0.05
107157-34-2530,107157-12379,989-28-79-13801-1,
107157-10-7122,107157-12380,989-28-79-23023-4,
107157-30-6513,107157-12381,989-28-79-23023-4,
107157-49-2415,107157-12382,989-28-79-74374-1,
107157-56-4638,107157-12383,989-28-79-13801-1,
107157-49-7313,107157-12384,989-28-79-23023-4,
107157-14-7560,107157-12385,989-28-79-23023-4,
107157-71-4871,107157-12386,989-28-79-55824-6,
107157-13-7470,107157-12387,989-28-79-23023-4,
107157-40-969,107157-12388,989-28-79-13801-1,
107157-72-7708,107157-12389,989-28-79-74374-1,
107157-2-4601,107157-12390,989-28-79-55824-6,
107157-41-5789,107157-12391,989-28-79-68089-3,0.05
107157-10-3412,107157-12392,989-28-79-74374-1,
107157-95-8713,107157-12393,989-28-79-23023-4,
107157-72-6934,107157-12394,989-28-79-13801-1,
107157-1-3820,107157-12395,989-28-79-23023-4,
107157-83-8787,107157-12396,989-28-79-13801-1,
107157-14-5036,107157-12397,989-28-79-13801-1,
107157-50-1260,107157-12398,989-28-79-68089-3,0.05
107157-91-6509,107157-12399,989-28-79-74374-1,
107157-77-9348,107157-12400,989-28-79-13801-1,
107157-39-8635,107157-12401,989-28-3705-492-6,
107157-62-7285,107157-12402,989-28-79-03683-6,
107157-99-9570,107157-12403,989-28-3705-222-9,
107157-68-8331,107157-12404,989-28-79-03683-6,
107157-5-4736,107157-12405,989-28-3705-222-9,
107157-20-6927,107157-12406,989-28-79-23015-9,
107157-34-3460,107157-12407,989-28-3705-492-6,
107157-70-1873,107157-12408,989-28-3705-222-9,
107157-46-6256,107157-12409,989-28-3705-222-9,
107157-91-6458,107157-12410,989-28-79-03683-6,
107157-40-742,107157-12411,989-28-3705-222-9,
107157-47-9553,107157-12412,989-28-79-13801-1,
107157-48-6908,107157-12412,989-28-79-74374-1,
107157-58-4905,107157-12412,989-28-79-23023-4,
107157-2-1703,107157-12413,989-28-79-74374-1,
107157-56-5119,107157-12413,989-28-79-13801-1,
107157-59-1940,107157-12413,989-28-79-40897-8,
107157-20-4192,107157-12414,989-28-79-71565-6,
107157-34-3858,107157-12414,989-28-79-04510-4,
107157-81-6363,107157-12414,989-28-79-74374-1,
107157-85-1098,107157-12414,989-28-79-40897-8,
107157-37-9067,107157-12415,989-28-79-21991-8,
107157-59-3527,107157-12415,989-28-79-11297-4,
107157-30-9754,107157-12416,989-28-3705-007-2,
107157-39-4019,107157-12416,989-28-3705-987-7,
107157-33-7026,107157-12417,989-28-3705-007-2,
107157-57-2782,107157-12417,989-28-3705-583-1,
107157-28-3497,107157-12418,989-28-79-69807-2,
107157-57-8404,107157-12418,989-28-3705-007-2,
107157-67-4220,107157-12418,989-28-3705-136-9,
107157-2-6307,107157-12419,989-28-79-74374-1,
107157-34-3962,107157-12419,989-28-79-69807-2,
107157-17-6894,107157-12420,989-28-229-3157-7,
107157-6-9951,107157-12420,989-28-229-9769-6,
107157-49-36,107157-12421,989-28-229-1404-4,
107157-77-7202,107157-12421,989-28-229-7592-2,
107157-79-960,107157-12421,989-28-229-6632-6,
107157-18-642,107157-12422,989-28-3705-987-7,
107157-37-2671,107157-12422,989-28-229-7592-2,
107157-13-7410,107157-12423,989-28-229-7592-2,
107157-41-132,107157-12423,989-28-3705-222-9,
107157-66-2995,107157-12424,989-28-79-71565-6,
107157-88-9645,107157-12424,989-28-79-23023-4,
107157-60-5216,107157-12425,989-28-79-69807-2,
107157-67-3921,107157-12425,989-28-79-16826-1,
107157-87-2289,107157-12425,989-28-79-82197-5,
107157-22-9398,107157-12426,989-28-79-55824-6,
107157-40-2546,107157-12426,989-28-79-13801-1,
107157-88-7089,107157-12426,989-28-3705-007-2,
107157-47-2396,107157-12427,989-28-3705-222-9,
107157-90-956,107157-12427,989-28-79-74374-1,
107157-99-867,107157-12427,989-28-3705-007-2,
107158-1-7594,107157-12492,989-28-654-2620-7,0.15
107158-4-4085,107158-12428,989-28-3705-987-7,
107158-1-7396,107158-12429,989-28-3705-007-2,
107158-56-294,107158-12430,989-28-3705-007-2,
107158-2-7816,107158-12431,989-28-3705-966-2,
107158-79-197,107158-12432,989-28-3705-987-7,
107158-65-2028,107158-12433,989-28-3705-007-2,
107158-34-1670,107158-12434,989-28-3705-007-2,
107158-35-9318,107158-12435,989-28-3705-007-2,
107158-41-1210,107158-12436,989-28-3705-583-1,
107158-26-2154,107158-12437,989-28-3705-054-6,
107158-67-1897,107158-12438,989-28-3705-007-2,
107158-35-6422,107158-12439,989-28-3705-138-3,
107158-98-6035,107158-12440,989-28-3705-583-1,
107158-68-5967,107158-12441,989-28-3705-007-2,
107158-5-7651,107158-12442,989-28-3705-007-2,
107158-74-1984,107158-12443,989-28-3705-987-7,
107158-48-9875,107158-12444,989-28-3705-007-2,
107158-38-8560,107158-12445,989-28-3705-007-2,
107158-98-7807,107158-12446,989-28-3705-369-1,
107158-39-806,107158-12447,989-28-79-21991-8,
107158-39-4617,107158-12448,989-28-79-45675-7,
107158-38-2584,107158-12449,989-28-79-04510-4,
107158-3-3616,107158-12450,989-28-79-21991-8,
107158-91-1120,107158-12451,989-28-79-07610-8,
107158-35-2631,107158-12452,989-28-79-70597-8,
107158-8-9207,107158-12453,989-28-79-45675-7,
107158-37-4013,107158-12454,989-28-79-18127-7,
107158-56-3684,107158-12455,989-28-79-21991-8,
107158-62-4037,107158-12456,989-28-79-45675-7,
107158-31-621,107158-12457,989-28-79-01991-4,
107158-58-6588,107158-12458,989-28-79-61125-5,
107158-43-3867,107158-12459,989-28-79-11297-4,
107158-29-8356,107158-12460,989-28-79-16826-1,
107158-49-3909,107158-12461,989-28-79-45675-7,
107158-97-2559,107158-12462,989-28-79-32105-5,
107158-86-9490,107158-12463,989-28-654-0127-3,
107158-42-2818,107158-12464,989-28-79-13871-4,0.13
107158-11-5467,107158-12465,989-28-79-69807-2,
107158-35-2177,107158-12466,989-28-79-13871-4,
107158-10-4169,107158-12467,989-28-79-69807-2,
107158-93-7204,107158-12468,989-28-79-13871-4,
107158-93-7203,107158-12469,989-28-79-13871-4,
107158-11-5466,107158-12470,989-28-79-69807-2,
107158-91-8953,107158-12471,989-28-79-13871-4,
107158-35-2176,107158-12472,989-28-79-13871-4,
107158-52-4744,107158-12473,989-28-79-82125-8,
107158-9-567,107158-12474,989-28-79-05670-4,
107158-23-6117,107158-12475,989-28-79-13871-4,
107158-10-4168,107158-12476,989-28-79-69807-2,
107158-42-2817,107158-12477,989-28-79-13871-4,0.13
107158-8-6554,107158-12478,989-28-79-05670-4,
107158-91-8952,107158-12479,989-28-79-13871-4,
107158-47-2798,107158-12480,989-28-79-69807-2,
107158-52-4743,107158-12481,989-28-79-82125-8,
107158-23-6116,107158-12482,989-28-79-13871-4,
107158-19-5872,107158-12483,989-28-79-69807-2,
107158-30-9501,107158-12484,989-28-79-05670-4,
107158-22-4828,107158-12485,989-28-79-69807-2,
107158-10-8328,107158-12486,989-28-79-05670-4,
107158-19-5871,107158-12487,989-28-79-69807-2,
107158-22-4827,107158-12488,989-28-79-69807-2,
107158-65-4505,107158-12489,989-28-79-05670-4,
107158-72-3799,107158-12490,989-28-654-6507-7,
107158-1-9431,107158-12491,989-28-654-2620-7,0.15
107158-11-9476,107158-12493,989-28-229-6632-6,
107158-86-6151,107158-12494,989-28-229-7592-2,
107158-18-5968,107158-12495,989-28-229-9769-6,
107158-2-9013,107158-12496,989-28-229-9769-6,
107158-86-4020,107158-12497,989-28-229-7592-2,
107158-85-8445,107158-12498,989-28-229-7592-2,
107158-24-8413,107158-12499,989-28-229-6632-6,
107158-59-1758,107158-12500,989-28-229-7592-2,
107158-87-2085,107158-12501,989-28-229-3157-7,
107158-29-8312,107158-12502,989-28-229-1404-4,
107158-42-4141,107158-12503,989-28-229-6632-6,0.13
107158-9-1818,107158-12504,989-28-229-5891-8,
107158-46-6436,107158-12505,989-28-229-5891-8,
107158-62-7658,107158-12506,989-28-79-13801-1,
107158-43-9283,107158-12507,989-28-79-13801-1,
107158-43-4976,107158-12508,989-28-79-68089-3,0.05
107158-80-9646,107158-12509,989-28-79-74374-1,
107158-49-1379,107158-12510,989-28-79-23023-4,
107158-23-2026,107158-12511,989-28-79-74374-1,
107158-51-5567,107158-12512,989-28-79-23023-4,
107158-38-6481,107158-12514,989-28-79-16808-7,
107158-49-8698,107158-12515,989-28-79-13801-1,
107158-29-3138,107158-12516,989-28-79-23023-4,
107158-6-942,107158-12517,989-28-79-40897-8,
107158-29-2851,107158-12518,989-28-79-74374-1,
107158-70-6796,107158-12519,989-28-79-26824-4,
107158-60-3836,107158-12520,989-28-79-23023-4,
107158-14-5384,107158-12521,989-28-79-23023-4,
107158-39-1671,107158-12522,989-28-79-26824-4,
107158-88-3096,107158-12523,989-28-79-74374-1,
107158-28-4584,107158-12524,989-28-79-26824-4,
107158-44-7954,107158-12525,989-28-79-13801-1,
107158-68-1903,107158-12526,989-28-79-23023-4,
107158-29-6227,107158-12527,989-28-79-74374-1,
107158-72-5307,107158-12528,989-28-79-23023-4,
107158-82-1233,107158-12529,989-28-79-40897-8,
107158-91-4541,107158-12530,989-28-79-74374-1,
107158-16-7488,107158-12531,989-28-79-13801-1,
107158-99-6353,107158-12532,989-28-79-91028-0,
107158-63-8314,107158-12533,989-28-79-91028-0,
107158-84-2400,107158-12534,989-28-79-74374-1,
107158-73-621,107158-12535,989-28-79-23023-4,
107158-9-6772,107158-12536,989-28-79-74374-1,
107158-50-3187,107158-12537,989-28-79-91028-0,
107158-82-2700,107158-12538,989-28-79-68089-3,0.05
107158-94-4109,107158-12539,989-28-79-13801-1,
107158-8-2686,107158-12540,989-28-79-13801-1,
107158-32-5487,107158-12541,989-28-79-55752-2,
107158-41-2729,107158-12542,989-28-79-13801-1,
107158-63-5903,107158-12543,989-28-79-55752-2,
107158-94-8026,107158-12544,989-28-79-13801-1,
107158-97-2489,107158-12545,989-28-79-13801-1,
107158-43-6268,107158-12546,989-28-79-71565-6,
107158-1-3053,107158-12547,989-28-79-71565-6,
107158-68-6559,107158-12548,989-28-79-74374-1,
107158-22-1588,107158-12549,989-28-79-23023-4,
107158-18-4550,107158-12550,989-28-79-74374-1,
107158-66-5936,107158-12552,989-28-79-23023-4,
107158-30-8968,107158-12553,989-28-79-51397-9,
107158-66-883,107158-12554,989-28-79-13801-1,
107158-88-4310,107158-12555,989-28-79-23023-4,
107158-27-6077,107158-12556,989-28-79-91028-0,
107158-62-2032,107158-12557,989-28-79-74374-1,
107158-64-8772,107158-12558,989-28-79-13801-1,
107158-76-8641,107158-12559,989-28-79-26824-4,
107158-85-9296,107158-12560,989-28-79-55824-6,
107158-83-8535,107158-12561,989-28-3705-492-6,
107158-49-2892,107158-12562,989-28-3705-492-6,
107158-36-9699,107158-12563,989-28-3705-492-6,
107158-68-7388,107158-12564,989-28-3705-222-9,
107158-81-8219,107158-12565,989-28-3705-492-6,
107158-84-4196,107158-12566,989-28-3705-492-6,
107158-42-7660,107158-12567,989-28-3705-222-9,0.13
107158-7-7922,107158-12568,989-28-3705-607-4,
107158-43-4004,107158-12569,989-28-79-71565-6,
107158-42-568,107158-12570,989-28-3705-987-7,0.13
107158-4-996,107158-12570,989-28-3705-007-2,0.13
107158-58-2163,107158-12571,989-28-3705-987-7,
107158-70-5368,107158-12571,989-28-3705-054-6,
107158-69-1779,107158-12572,989-28-3705-987-7,
107158-80-5985,107158-12572,989-28-3705-007-2,
107158-85-2819,107158-12573,989-28-3705-583-1,
107158-90-5777,107158-12573,989-28-3705-007-2,
107158-27-2193,107158-12574,989-28-79-45675-7,
107158-94-5939,107158-12574,989-28-3705-007-2,
107158-30-3108,107158-12575,989-28-79-45675-7,
107158-86-1038,107158-12575,989-28-79-13871-4,
107158-44-6823,107158-12576,989-28-79-67891-3,
107158-46-9291,107158-12576,989-28-79-05670-4,
107158-47-2797,107158-12577,989-28-79-69807-2,
107158-86-1037,107158-12577,989-28-79-13871-4,
107158-46-4129,107158-12578,989-28-229-0197-6,0.1
107158-13-273,107158-12578,989-28-229-6632-6,
107158-21-3207,107158-12579,989-28-79-13801-1,
107158-89-9264,107158-12579,989-28-229-1404-4,
107158-28-7536,107158-12580,989-28-79-13801-1,
107158-36-5068,107158-12580,989-28-79-40897-8,
107158-38-577,107158-12581,989-28-79-13801-1,
107158-66-4915,107158-12581,989-28-79-40897-8,
107158-11-2822,107158-12582,989-28-79-23015-9,0.13
107158-38-5768,107158-12582,989-28-79-13801-1,0.13
107158-42-813,107158-12582,989-28-79-13801-1,0.13
107158-72-8493,107158-12582,989-28-3705-222-9,0.13
107158-77-5429,107158-12582,989-28-229-9769-6,0.13
107158-79-8853,107158-12582,989-28-3705-775-0,0.13
107158-97-2071,107158-12582,989-28-79-68089-3,0.05
107158-31-7764,107158-12583,989-28-3705-492-6,
107158-60-833,107158-12583,989-28-229-5891-8,
107158-6-7143,107158-12583,989-28-79-13801-1,
107158-13-6958,107158-12584,989-28-79-05670-4,
107158-21-7977,107158-12584,989-28-79-45675-7,
107158-41-4520,107158-12584,989-28-229-6632-6,
107158-89-9340,107158-12584,989-28-3705-583-1,
107158-12-4926,107158-12585,989-28-3705-987-7,
107158-26-6980,107158-12585,989-28-79-23015-9,
107158-85-414,107158-12585,989-28-79-13801-1,
107158-88-6628,107158-12585,989-28-229-9769-6,
107159-1-3594,107158-12615,989-28-654-2620-7,0.15
107159-29-3979,107159-12586,989-28-3705-987-7,
107159-91-2725,107159-12587,989-28-3705-987-7,
107159-56-1228,107159-12588,989-28-3705-592-3,
107159-71-4148,107159-12589,989-28-3705-007-2,
107159-88-6911,107159-12590,989-28-3705-592-3,
107159-47-6120,107159-12591,989-28-3705-987-7,
107159-7-6754,107159-12592,989-28-3705-007-2,
107159-56-9094,107159-12593,989-28-3705-987-7,
107159-73-7374,107159-12594,989-28-3705-138-3,
107159-21-8931,107159-12595,989-28-79-27078-0,
107159-8-5753,107159-12596,989-28-79-32105-5,
107159-81-2419,107159-12597,989-28-79-45675-7,
107159-82-4138,107159-12598,989-28-654-5018-9,
107159-3-6279,107159-12599,989-28-79-69807-2,
107159-78-7941,107159-12600,989-28-79-82749-6,
107159-17-5431,107159-12601,989-28-79-05670-4,
107159-99-468,107159-12602,989-28-79-05670-4,
107159-66-8354,107159-12603,989-28-79-05670-4,
107159-78-7940,107159-12604,989-28-79-82749-6,
107159-10-9430,107159-12605,989-28-79-69807-2,
107159-61-7643,107159-12606,989-28-79-69807-2,
107159-3-6278,107159-12607,989-28-79-69807-2,
107159-97-6463,107159-12608,989-28-79-69807-2,
107159-10-9429,107159-12609,989-28-79-69807-2,
107159-22-8721,107159-12610,989-28-79-05670-4,
107159-69-1733,107159-12611,989-28-79-13871-4,
107159-61-7642,107159-12612,989-28-79-69807-2,
107159-31-3185,107159-12613,989-28-79-05670-4,
107159-97-6462,107159-12614,989-28-79-69807-2,
107159-14-3085,107159-12616,989-28-654-0047-4,
107159-66-9585,107159-12617,989-28-229-3157-7,
107159-32-9853,107159-12618,989-28-229-6632-6,
107159-1-1199,107159-12619,989-28-229-5891-8,
107159-25-4918,107159-12620,989-28-229-9769-6,
107159-9-2150,107159-12621,989-28-229-0197-6,0.1
107159-1-1110,107159-12622,989-28-79-71565-6,
107159-22-1671,107159-12623,989-28-79-13801-1,
107159-85-6708,107159-12624,989-28-79-74374-1,
107159-50-585,107159-12625,989-28-79-74374-1,
107159-87-9669,107159-12626,989-28-79-74374-1,
107159-75-2756,107159-12627,989-28-79-74374-1,
107159-33-7428,107159-12628,989-28-79-91028-0,
107159-62-6689,107159-12629,989-28-79-26824-4,
107159-27-1519,107159-12630,989-28-79-13801-1,
107159-73-7128,107159-12631,989-28-79-74374-1,
107159-92-1346,107159-12632,989-28-79-71565-6,
107159-28-7154,107159-12633,989-28-79-74374-1,
107159-63-2434,107159-12634,989-28-79-44730-4,
107159-82-3656,107159-12635,989-28-79-13801-1,
107159-8-186,107159-12636,989-28-79-23023-4,
107159-41-187,107159-12637,989-28-79-23023-4,
107159-93-6335,107159-12638,989-28-79-23023-4,
107159-81-8715,107159-12639,989-28-79-13801-1,
107159-32-2151,107159-12640,989-28-79-74374-1,
107159-88-9063,107159-12641,989-28-79-74374-1,
107159-20-4765,107159-12642,989-28-79-74374-1,
107159-24-8727,107159-12643,989-28-79-74374-1,
107159-63-7648,107159-12644,989-28-79-74374-1,
107159-71-8122,107159-12645,989-28-79-74374-1,
107159-2-6121,107159-12646,989-28-79-13801-1,
107159-70-3530,107159-12647,989-28-79-91028-0,
107159-85-361,107159-12648,989-28-79-23023-4,
107159-66-7674,107159-12649,989-28-79-23023-4,
107159-18-2885,107159-12650,989-28-79-91028-0,
107159-31-3093,107159-12651,989-28-79-74374-1,
107159-63-1022,107159-12652,989-28-79-68089-3,0.05
107159-8-56,107159-12653,989-28-79-23023-4,
107159-69-1715,107159-12654,989-28-79-23023-4,
107159-81-3425,107159-12655,989-28-79-23023-4,
107159-72-6425,107159-12656,989-28-79-23023-4,
107159-79-3315,107159-12657,989-28-79-26824-4,
107159-41-5829,107159-12658,989-28-3705-492-6,
107159-56-9744,107159-12659,989-28-3705-492-6,
107159-76-5742,107159-12660,989-28-3705-222-9,
107159-2-1664,107159-12661,989-28-229-9769-6,
107159-36-8112,107159-12661,989-28-79-23023-4,
107159-46-3914,107159-12661,989-28-79-74374-1,
107159-95-9750,107159-12661,989-28-79-32105-5,
107159-69-1732,107159-12662,989-28-79-13871-4,
107159-71-3543,107159-12662,989-28-79-13801-1,
107159-94-7314,107159-12662,989-28-3705-492-6,
107159-26-31,107159-12663,989-28-79-23023-4,
107159-35-1742,107159-12663,989-28-3705-007-2,
107159-70-8242,107159-12664,989-28-229-9769-6,
107159-96-9286,107159-12664,989-28-3705-007-2,
107159-14-5924,107159-12665,989-28-229-1404-4,
107159-17-1982,107159-12665,989-28-3705-007-2,
107159-2-492,107159-12666,989-28-3705-007-2,
107159-84-6233,107159-12666,989-28-3705-222-9,
107159-28-4359,107159-12667,989-28-79-14379-4,
107159-69-3799,107159-12667,989-28-3705-492-6,
107159-69-8280,107159-12667,989-28-3705-222-9,
107160-10-4088,107160-12668,989-28-3705-007-2,
107160-86-9406,107160-12669,989-28-3705-369-1,
107160-12-2586,107160-12670,989-28-3705-987-7,
107160-32-6630,107160-12671,989-28-3705-007-2,
107160-41-1207,107160-12672,989-28-3705-007-2,
107160-26-2741,107160-12673,989-28-3705-007-2,
107160-16-2047,107160-12674,989-28-3705-592-3,
107160-1-2668,107160-12675,989-28-3705-987-7,
107160-67-2336,107160-12676,989-28-3705-007-2,
107160-58-1949,107160-12677,989-28-3705-369-1,
107160-58-6217,107160-12678,989-28-3705-987-7,
107160-76-5884,107160-12679,989-28-3705-987-7,
107160-94-6055,107160-12680,989-28-79-11297-4,
107160-91-3731,107160-12681,989-28-79-82197-5,
107160-66-6554,107160-12682,989-28-79-32105-5,
107160-89-9536,107160-12683,989-28-79-86624-2,
107160-67-9056,107160-12684,989-28-79-45675-7,
107160-32-8711,107160-12685,989-28-79-30536-9,
107160-96-5131,107160-12686,989-28-79-21991-8,
107160-92-5978,107160-12687,989-28-79-05638-4,
107160-29-5131,107160-12688,989-28-79-82749-6,
107160-42-1268,107160-12689,989-28-79-82125-8,0.13
107160-23-4683,107160-12690,989-28-79-69807-2,
107160-23-4682,107160-12691,989-28-79-69807-2,
107160-29-5130,107160-12692,989-28-79-82749-6,
107160-34-398,107160-12693,989-28-79-13871-4,
107160-57-958,107160-12694,989-28-79-69807-2,
107160-34-397,107160-12695,989-28-79-13871-4,
107160-61-4916,107160-12696,989-28-79-69807-2,
107160-42-1267,107160-12697,989-28-79-82125-8,0.13
107160-66-6268,107160-12698,989-28-79-69807-2,
107160-47-1976,107160-12699,989-28-79-82749-6,
107160-60-6107,107160-12700,989-28-79-13871-4,
107160-88-742,107160-12701,989-28-654-6033-1,
107160-95-1350,107160-12702,989-28-654-6033-1,
107160-29-8043,107160-12703,989-28-229-0197-6,0.1
107160-13-6476,107160-12704,989-28-229-9769-6,
107160-67-1207,107160-12705,989-28-229-5891-8,
107160-10-5708,107160-12706,989-28-229-1404-4,
107160-40-9662,107160-12707,989-28-229-7592-2,
107160-17-9840,107160-12708,989-28-229-9769-6,
107160-33-7624,107160-12709,989-28-229-5891-8,
107160-42-8685,107160-12710,989-28-229-1404-4,0.13
107160-8-2631,107160-12711,989-28-229-7592-2,
107160-50-6366,107160-12712,989-28-229-7592-2,
107160-1-4784,107160-12713,989-28-79-23023-4,
107160-20-4567,107160-12714,989-28-79-74374-1,
107160-79-540,107160-12715,989-28-79-13801-1,
107160-79-6293,107160-12716,989-28-79-71565-6,
107160-17-2956,107160-12718,989-28-79-71565-6,
107160-3-8218,107160-12719,989-28-79-55824-6,
107160-72-9746,107160-12720,989-28-79-13801-1,
107160-27-5133,107160-12721,989-28-79-40897-8,
107160-57-7849,107160-12722,989-28-79-23023-4,
107160-31-1142,107160-12723,989-28-79-91028-0,
107160-33-5647,107160-12724,989-28-79-74374-1,
107160-76-6241,107160-12725,989-28-79-26824-4,
107160-94-677,107160-12726,989-28-79-26824-4,
107160-31-1681,107160-12727,989-28-79-23023-4,
107160-44-5401,107160-12728,989-28-79-68089-3,0.05
107160-37-9676,107160-12729,989-28-79-74374-1,
107160-76-5006,107160-12730,989-28-79-68089-3,0.05
107160-57-1473,107160-12731,989-28-79-68089-3,0.05
107160-67-8399,107160-12732,989-28-79-71565-6,
107160-47-3801,107160-12733,989-28-79-55752-2,
107160-58-5946,107160-12734,989-28-79-91028-0,
107160-63-3481,107160-12735,989-28-79-55752-2,
107160-25-1448,107160-12736,989-28-79-23023-4,
107160-18-4663,107160-12737,989-28-3705-492-6,
107160-30-5555,107160-12738,989-28-3705-492-6,
107160-51-9740,107160-12739,989-28-3705-222-9,
107160-54-3924,107160-12740,989-28-3705-222-9,
107160-37-3167,107160-12741,989-28-79-13801-1,
107160-60-6106,107160-12741,989-28-79-13871-4,
107160-61-4915,107160-12741,989-28-79-69807-2,
107160-73-9,107160-12741,989-28-79-74374-1,
107160-97-6001,107160-12741,989-28-79-40897-8,
107160-35-5040,107160-12742,989-28-79-13801-1,
107160-47-1975,107160-12742,989-28-79-82749-6,
107160-12-3740,107160-12743,989-28-3705-007-2,
107160-53-5147,107160-12743,989-28-3705-987-7,
107160-6-8309,107160-12743,989-28-3705-369-1,
107160-75-9320,107160-12743,989-28-3705-138-3,
107160-54-2736,107160-12744,989-28-79-91028-0,
107160-88-7134,107160-12744,989-28-79-03683-6,
107160-15-5978,107160-12745,989-28-3705-007-2,0.13
107160-42-7089,107160-12745,989-28-79-71565-6,0.13
107160-66-6267,107160-12745,989-28-79-69807-2,0.13
107160-59-2137,107160-12746,989-28-79-05670-4,
107160-7-5694,107160-12746,989-28-79-13801-1,
107160-30-7033,107160-12747,989-28-79-74374-1,
107160-57-957,107160-12747,989-28-79-69807-2,
107160-1-8411,107160-12748,989-28-79-05670-4,
107160-49-8641,107160-12748,989-28-79-13801-1,
107160-12-8855,107160-12749,989-28-3705-007-2,
107160-27-8541,107160-12749,989-28-3705-222-9,
107161-1-4366,107159-12817,989-28-654-2620-7,0.15
107161-32-8322,107161-12750,989-28-3705-007-2,
